record_id	name	mrp_id	cms_status	marketplace_status
rec0v12haGqpjnTXw	Fitmor	6779c915c4d0c3a0dc3efb4d	Active	3️⃣Published🚀
rec0v2oN1Xim8kd7H	Sterling Homes	64ef9ba4d8996f0e868328f9	Active	3️⃣Published🚀
rec0vGpNyUDpQWfRX	Creaty Archived e1gfpk0y	6758a5aca96a6690e080bee9	Archived	4️⃣Delisted☠️
rec0vJs7StEvljOnN	Lyra	63bc3b3aaf7018d01bf32451	Active	3️⃣Published🚀
rec0viYYQMdeaPBw5	Webble	682cf0882965ffd13d6c9695	Active	3️⃣Published🚀
rec0x4uybAwfvP5OG	Krust	682cc68f9650bf94ff663064	Active	3️⃣Published🚀
rec0xVG6Rg3uw9hRS	Linkup Archived gl4j595w	648aadcc24d7794b989a18db	Archived	4️⃣Delisted☠️
rec0xeKkF69St8mmV	Feather	631a2d68de5c6f22bf208920	Active	3️⃣Published🚀
rec0yIqrfQ0QbbtwL	StreamFlow	6541d1e2fbcb1d43f417c377	Active	3️⃣Published🚀
rec0yjZN48ktg0fDE	Volvio	684892ca166c8ece5a685f57	Active	3️⃣Published🚀
rec0yt3IG014ArjqZ	Notch	5c2e3e407ac985302357e94d	Active	3️⃣Published🚀
rec0z6PZbvNbXziZV	We're Beast	6823e2443d0be617c84fb6be	Active	3️⃣Published🚀
rec0zCKehNCZw2q5h	Flawless	68435c10431127ce136706d6	Active	3️⃣Published🚀
rec0zHSAq38LvPeik	Jenah	656386f94503332060d38723	Active	3️⃣Published🚀
rec0zPULKSfsiivn8	Kidzly	670b411173f57e3c96e8874a	Active	3️⃣Published🚀
rec114gicYMRGwIhC	Medical Support	65d8ad15bc9435efd7f44fab	Active	3️⃣Published🚀
rec11EEJQf6cSYXSR	Paramount	68ee19fc9056f59defaa7753	Active	3️⃣Published🚀
rec11nql3JiTzpdJF	Engrafa Archived n3chkk96	60932f89987d364e91879c93	Archived	4️⃣Delisted☠️
rec11qx7nIkFcDsDH	Bloky	61e0a8a3432a60e11bf4095c	Active	3️⃣Published🚀
rec121ru9rvcb7u95	Edition	6148c38eec7bde34f488a423	Active	3️⃣Published🚀
rec12C6vMiUWH5JcQ	Valora	6564bc94364bf0643d007a1f	Active	3️⃣Published🚀
rec12RYdyheAO9hht	Landscape 128 Plus	65d4b1dc5e2989cfb7a4de52	Active	3️⃣Published🚀
